time,Андрей_Болконский,Пьер_Безухов,Наташа,Николай_Ростов
150,0,0.2618759075800578,0.41402682662010193,0.275139719247818
151,-0.03322640061378479,0,0.055915615388325283,0
152,0,0,0,0
153,-0.3007555902004242,0.43009644746780396,0.2120716025431951,0.24509501457214355
154,0.29422497749328613,0,0.08436867296695709,0.2689514458179474
155,0.24509501457214355,0,-0.4443959693113963,0
156,-0.13156298796335855,-0.30736804008483887,-0.1723055328641619,0
157,0,0,0,0
158,0,0,0,0
159,0,0,-0.39481596648693085,0
160,-0.42861123383045197,-0.5114116787910461,-0.48222364981969196,0
161,0,-0.1601521521806717,0,0
162,-0.008739034334818522,-0.07470273673534393,-0.22816647589206696,0
163,0,-0.4165448807179928,-0.5000100135803223,0
164,0,0,0,0
165,0,0,0,0
166,0,0,0,0
167,0,0,0,0
168,0,0,0,0
169,0,0,0,0
170,0,0,0,0
171,-0.22844127672059195,0,0,-0.3923468291759491
172,0,0,0,0
173,0.4378334879875183,0,0,0
174,-0.3415925204753876,0,0,0
175,0,0,0,0.09635867178440094
176,0,0,0,-0.36631014943122864
177,0,0,0,-0.4137637197971344
178,0,0,0,-0.3513532810741001
179,0,0,-0.42962010701497394,-0.6150978803634644
180,0,-0.3007555902004242,-0.10543442517518997,0
181,-0.29422497749328613,0,-0.3998216390609741,0
182,0,-0.32325106859207153,0,-0.2689514458179474
183,0,-0.17292650209532845,-0.1811554968357086,0
184,0,0,0,-0.30736804008483887
185,0,-0.1621190756559372,0,0
186,0,-0.43615085631608963,0,0
187,0,0,0,0
188,0,0,0,0
189,0,0,0,0
190,0,0,0,0
191,-0.06526840329170228,0,0,0
192,0,0,0,0
193,0,0,0,-0.4765896201133728
194,-0.4056040942668915,0,0,0
195,-0.4765896201133728,0,0,0
196,0,0,0,0
197,0,0,0,0
198,0,0,0,0
199,0,0,0,-0.0960622529188792
200,0,0,0,-0.1090665340423584
201,-0.33094701915979385,0,0,0
202,0,0,0,0
203,0,-0.43820562958717346,0,-0.4848421514034271
204,0,-0.33526961008707684,0,-0.3140605390071869
205,0,0,0,0
206,0,-0.23539477586746216,0,0
207,0,0.08888383507728577,0,0
208,0,0.37210895121097565,0,0
209,0,-0.29422497749328613,0,0
210,-0.014581747353076935,0.16085882981618246,0,0
211,-0.21104258961147732,0.3557848632335663,0.4225146472454071,0
212,0,0,0,0
213,0,0,0,0
214,0,0,0,0
215,0,0,0,0
216,-0.275139719247818,-0.356908905506134,0,0
217,0,-0.21691381600168017,0,0
218,0,-0.44614603122075397,0,0
219,0,-0.3276783227920532,0,0
220,0,0,0,0
221,0,0,0,0
222,-0.37825068831443787,0,0,0
223,-0.10559197515249252,0,0,0
224,0,0,0,0
225,0,0,0,0
226,0,0,0,0
227,0,0,0,0
228,0,0,0,0
229,0,0,0,0
230,0,0,0,0
231,0,0,0,0
232,0,0,0,0
233,0,-0.358211874961853,0,0
234,0,-0.44761691242456436,0,0
235,0,-0.41490885615348816,0,0
236,-0.4921981394290924,-0.4125313957532247,0,0
237,0.44553956389427185,-0.2814156115055084,0.009669989347457886,-0.2814156115055084
238,0,0,0.07132784525553386,0
239,0,0,-0.3315764516592026,0
240,0,0,0,-0.40734341740608215
241,0,0,-0.15215779344240823,0
242,0.275139719247818,-0.3415925204753876,0.4124186833699544,-0.3415925204753876
243,0,-0.28347551077604294,0,0
244,0,0,0,0
245,0,0,0,0
246,0,0,0,0
247,0,0,0,0
248,0,0,0,0
249,0,0,0,0
250,0,0,0,0
251,0,0,0,0
252,0,-0.3607601039111614,0,-0.3629792034626007
253,0,-0.41490885615348816,0,0
254,0,0.046034056693315506,0,0
255,0,0,0,-0.523430347442627
256,-0.12107553084691365,0,-0.36600369215011597,0
257,0.033139372865358986,0,0.04482526332139969,0
258,0,-0.3903466377939497,0,0
259,0,0.19004002213478088,0,0
260,0,0,0,0
261,0,0,0,0
262,0,0,0,0
263,0,-0.3998216390609741,0,0.09920795758565266
264,0,0,0,0.26285186409950256
265,0.33748067915439606,0,0,0.2769030289990561
266,0.3629792034626007,0,0,-0.0937843109880175
267,-0.16611509025096893,0,-0.09807499249776204,-0.02456498146057129
268,0,0,0,0
269,0,-0.6052975157896677,0,0
270,0,-0.42002943489286637,0,0
271,0,-0.18934684619307518,0,0
272,0,0.22342997789382935,0,0
273,-0.3089395960172017,0,-0.06261159181594848,-0.30689359456300735
274,-0.20908424258232117,0,-0.3512413576245308,-0.29422497749328613
275,-0.4035439133644104,0,-0.10370650142431259,0
276,0,0,0,0
277,0,0,0,0
278,0,0,0,0
279,0,0,0,0
280,0,0,0,0
281,0,0,0,0
282,0,0,0,0
283,0,0,0,0
284,0,0,0,0
285,0,0,0,0
286,0,0.016322463750839233,0,0
287,0,0.23935934901237488,0,0
288,0,-0.29807981848716736,0,0
289,0,-0.36817073822021484,0,0
290,0,0,0,0
291,0,0,0,0
292,0,0,0,0
293,0,0,0,0
294,0,0,0,0
295,0,0,0,0
296,0,0,0,0
297,0,0,0,0
298,0,0,0,0
299,0,0,0,0
300,0,0,0,0
301,0,0,0,0
302,0,0,0,0
303,0,0,0,0
304,0,0,0,0
305,0,0,0,0
306,0,-0.38894402980804443,0,0
307,0,0.016971373558044435,0,0
308,0,-0.348655104637146,0,0
309,0,0.14495308697223663,0,-0.4378334879875183
310,0,0,0,0
311,0,0,0,0
312,0,0,0,0
313,0,0,0,0
314,-0.3629792034626007,0,-0.3632450997829437,0
315,0,0,-0.07279464602470398,0
316,-0.2689514458179474,0,-0.019172564148902893,0
317,0,0,0,0
318,0,0,0,0
319,0,0,0,0
320,0,0,0,0
321,0,0,0,0
322,0,0,0,0
323,0,0,0,0
324,0,0,0,0
325,-0.41112613677978516,-0.376515693962574,0,-0.40734341740608215
326,0,-0.032312227620018855,0,0
327,0,0,0,0
328,0,-0.17027146617571512,0.010488390922546387,0
329,0,-0.0053359270095825195,0.19587789475917816,0
330,0,0.10946981395993914,0.2099514678120613,0
331,0.348655104637146,-0.022851420773400202,-0.3194647630055745,0
332,0,-0.2648719847202301,0,0
333,0,-0.2575659900903702,-0.3305738667647044,0
334,0,0,0,0
335,0,0,0,0
336,0,0,0,0
337,0,0,0,0
338,-0.4921981394290924,-0.3416272848844528,0,0
